playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
abreubo01,2005,1,PHI,NL,162,588,104,168,37,1,24,102,31,9,117,134,15,6,0,8,7
accarje01,2005,1,SFN,NL,28,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
acevejo01,2005,1,COL,NL,36,8,0,1,0,0,0,0,0,0,1,6,0,1,1,0,0
adamsmi03,2005,1,MIL,NL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsru01,2005,1,TOR,AL,139,481,68,123,27,5,8,63,11,2,50,57,1,3,3,8,5
adamste01,2005,1,PHI,NL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adkinjo01,2005,1,CHA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
affelje01,2005,1,KCA,AL,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aguilch01,2005,1,FLO,NL,65,78,11,19,3,0,0,4,0,1,3,19,0,0,0,0,0
alexama02,2005,1,SDN,NL,10,18,0,2,1,0,0,0,0,0,2,5,1,1,0,0,0
alfonan01,2005,1,FLO,NL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alfoned01,2005,1,SFN,NL,109,368,36,102,17,1,2,43,2,0,27,34,1,2,1,4,11
allench01,2005,1,TEX,AL,21,53,5,15,1,1,0,5,0,1,2,13,0,0,1,0,2
almanar01,2005,1,ARI,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almanca01,2005,1,TEX,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alomasa02,2005,1,TEX,AL,46,128,11,35,7,0,0,14,0,0,5,12,0,1,3,0,3
aloumo01,2005,1,SFN,NL,123,427,67,137,21,3,19,63,5,1,56,43,1,3,0,4,11
alvarab01,2005,1,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarwi01,2005,1,LAN,NL,21,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ambrech01,2005,1,KCA,AL,53,145,25,35,8,0,4,9,3,2,16,32,1,2,3,1,5
amezaal01,2005,1,COL,NL,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
amezaal01,2005,2,PIT,NL,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
anderbr02,2005,1,KCA,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderbr03,2005,1,CHA,AL,13,34,3,6,1,0,2,3,1,0,0,12,0,0,1,0,2
